StudentID,StudentName,Grade,CourseID,CourseName,SectionID,Period,Slots,TeacherID,TeacherName,RoomID,RoomName
26154,,12,OH1306,Art of Fiction Higher Level,OH1306.3,3,B3;D1;E5,23,,,
26154,,12,OI1305,Calculus,OI1305.4,4,B1;C4;E2,44,,,
26154,,12,J1203,Tech. and Innovation for Social Change,J1203.5,5,A1;B4;D2,22,,,
26154,,12,OI1303,Financial Math,OI1303.1,6,A4;C2;D5,4,,,
26154,,12,A1204,Environmental Science,A1204.1,7,A2;B5;D3,13,,,
26154,,12,G1201,Español & Literatura 12,G1201.1,8,B2;C5;E4,6,,,
26154,,12,ADVHS01,Advisory HS,ADVHS01.29,9,E3,43,,,
27001,,12,OB1520,AP Statistics,OB1520.2,1,A5;C3;E1,37,,,
27001,,12,G1201,Español & Literatura 12,G1201.5,2,A3;C1;D4,25,,,
27001,,12,OI1305,Calculus,OI1305.5,3,B3;D1;E5,44,,,
27001,,12,E1201,Physical Education and Health 12,E1201.4,4,B1;C4;E2,30,,,
27001,,12,OA1318,AP Environmental Science,OA1318.1,5,A1;B4;D2,13,,,
27001,,12,L1304,Life Purpose,L1304.3,6,A4;C2;D5,33,,,
27001,,12,OB1532,AP Research,OB1532.1,7,A2;B5;D3,10,,,
27001,,12,OH1306,Art of Fiction Higher Level,OH1306.2,8,B2;C5;E4,23,,,
27001,,12,ADVHS01,Advisory HS,ADVHS01.3,9,E3,5,,,
27002,,12,L1304,Life Purpose,L1304.1,1,A5;C3;E1,24,,,
27002,,12,G1202,AP Spanish Literature and Culture,G1202.1,2,A3;C1;D4,6,,,
27002,,12,OH1306,Art of Fiction Higher Level,OH1306.3,3,B3;D1;E5,23,,,
27002,,12,A1204,Environmental Science,A1204.2,4,B1;C4;E2,13,,,
27002,,12,E1201,Physical Education and Health 12,E1201.1,5,A1;B4;D2,30,,,
27002,,12,I1208,AP Calculus BC,I1208.1,6,A4;C2;D5,44,,,
27002,,12,OB1532,AP Research,OB1532.1,7,A2;B5;D3,10,,,
27002,,12,ADVHS01,Advisory HS,ADVHS01.31,9,E3,44,,,
27003,,12,OI1305,Calculus,OI1305.2,1,A5;C3;E1,35,,,
27003,,12,G1201,Español & Literatura 12,G1201.5,2,A3;C1;D4,25,,,
27003,,12,A1204,Environmental Science,A1204.3,3,B3;D1;E5,13,,,
27003,,12,E1201,Physical Education and Health 12,E1201.1,5,A1;B4;D2,30,,,
27003,,12,L1304,Life Purpose,L1304.3,6,A4;C2;D5,33,,,
27003,,12,J1203,Tech. and Innovation for Social Change,J1203.2,7,A2;B5;D3,20,,,
27003,,12,OH1306,Art of Fiction Higher Level,OH1306.2,8,B2;C5;E4,23,,,
27003,,12,ADVHS01,Advisory HS,ADVHS01.29,9,E3,43,,,
27005,,12,OI1303,Financial Math,OI1303.2,1,A5;C3;E1,4,,,
27005,,12,G1201,Español & Literatura 12,G1201.5,2,A3;C1;D4,25,,,
27005,,12,OA1322,AP Physics 2,OA1322.2,3,B3;D1;E5,31,,,
27005,,12,E1201,Physical Education and Health 12,E1201.4,4,B1;C4;E2,30,,,
27005,,12,L1304,Life Purpose,L1304.2,5,A1;B4;D2,24,,,
27005,,12,I1208,AP Calculus BC,I1208.1,6,A4;C2;D5,44,,,
27005,,12,OB1532,AP Research,OB1532.1,7,A2;B5;D3,10,,,
27005,,12,OH1501,Journalism Higher Level,OH1501.2,8,B2;C5;E4,43,,,
27005,,12,ADVHS01,Advisory HS,ADVHS01.30,9,E3,15,,,
27006,,12,L1304,Life Purpose,L1304.1,1,A5;C3;E1,24,,,
27006,,12,L1302,Introduction to Law,L1302.2,2,A3;C1;D4,24,,,
27006,,12,G1201,Español & Literatura 12,G1201.2,3,B3;D1;E5,6,,,
27006,,12,OA1317,AP Chemistry,OA1317.1,4,B1;C4;E2,38,,,
27006,,12,E1201,Physical Education and Health 12,E1201.1,5,A1;B4;D2,30,,,
27006,,12,I1208,AP Calculus BC,I1208.1,6,A4;C2;D5,44,,,
27006,,12,J1203,Tech. and Innovation for Social Change,J1203.2,7,A2;B5;D3,20,,,
27006,,12,OH1501,Journalism Higher Level,OH1501.2,8,B2;C5;E4,43,,,
27006,,12,ADVHS01,Advisory HS,ADVHS01.31,9,E3,44,,,
27007,,11,L1301,AP Psychology,L1301.2,2,A3;C1;D4,33,,,
27007,,11,OI1305,Calculus,OI1305.5,3,B3;D1;E5,44,,,
27007,,11,A1105,Physics 11,A1105.3,4,B1;C4;E2,41,,,
27007,,11,E1101,Physical Education and Health 11,E1101.4,5,A1;B4;D2,27,,,
27007,,11,L1302,Introduction to Law,L1302.1,6,A4;C2;D5,24,,,
27007,,11,OH1305,Art of Fiction Intermediate Level,OH1305.3,7,A2;B5;D3,40,,,
27007,,11,G1203,Español & Literatura 11,G1203.4,8,B2;C5;E4,36,,,
27007,,11,ADVHS01,Advisory HS,ADVHS01.6,9,E3,8,,,
27008,,11,OC1305,Painting I,OC1305.3,1,A5;C3;E1,5,,,
27008,,11,OH1305,Art of Fiction Intermediate Level,OH1305.2,2,A3;C1;D4,40,,,
27008,,11,VHS0052,"Spanish Film, Art, and Literature",VHS0052.1,3,B3;D1;E5,25,,,
27008,,11,I1212,AP Macroeconomics,I1212.1,4,B1;C4;E2,34,,,
27008,,11,I1213,AP Microeconomics,I1213.1,4,B1;C4;E2,34,,,
27008,,11,OI1003,Algebra II,OI1003.2,5,A1;B4;D2,8,,,
27008,,11,OZ1207,Anatomy and Physiology,OZ1207.1,6,A4;C2;D5,13,,,
27008,,11,A1105,Physics 11,A1105.2,7,A2;B5;D3,31,,,
27008,,11,E1101,Physical Education and Health 11,E1101.2,8,B2;C5;E4,27,,,
27008,,11,ADVHS01,Advisory HS,ADVHS01.14,9,E3,25,,,
27009,,11,L1301,AP Psychology,L1301.2,2,A3;C1;D4,33,,,
27009,,11,I1211,AP Precalculus,I1211.2,4,B1;C4;E2,4,,,
27009,,11,E1101,Physical Education and Health 11,E1101.4,5,A1;B4;D2,27,,,
27009,,11,OH1305,Art of Fiction Intermediate Level,OH1305.1,6,A4;C2;D5,23,,,
27009,,11,G1203,Español & Literatura 11,G1203.1,7,A2;B5;D3,36,,,
27009,,11,OA1319,AP Physics 1,OA1319.2,8,B2;C5;E4,31,,,
27009,,11,ADVHS01,Advisory HS,ADVHS01.30,9,E3,15,,,
27010,,12,OI1305,Calculus,OI1305.2,1,A5;C3;E1,35,,,
27010,,12,OC1310,Painting II,OC1310.3,2,A3;C1;D4,46,,,
27010,,12,I1212,AP Macroeconomics,I1212.3,3,B3;D1;E5,34,,,
27010,,12,I1213,AP Microeconomics,I1213.3,3,B3;D1;E5,34,,,
27010,,12,A1204,Environmental Science,A1204.2,4,B1;C4;E2,13,,,
27010,,12,J1203,Tech. and Innovation for Social Change,J1203.5,5,A1;B4;D2,22,,,
27010,,12,E1201,Physical Education and Health 12,E1201.2,6,A4;C2;D5,30,,,
27010,,12,G1201,Español & Literatura 12,G1201.3,7,A2;B5;D3,6,,,
27010,,12,OH1501,Journalism Higher Level,OH1501.2,8,B2;C5;E4,43,,,
27010,,12,ADVHS01,Advisory HS,ADVHS01.15,9,E3,26,,,
27012,,12,OI1305,Calculus,OI1305.2,1,A5;C3;E1,35,,,
27012,,12,A1204,Environmental Science,A1204.3,3,B3;D1;E5,13,,,
27012,,12,E1201,Physical Education and Health 12,E1201.4,4,B1;C4;E2,30,,,
27012,,12,G1201,Español & Literatura 12,G1201.4,5,A1;B4;D2,6,,,
27012,,12,OH1501,Journalism Higher Level,OH1501.1,6,A4;C2;D5,43,,,
27012,,12,L1304,Life Purpose,L1304.4,7,A2;B5;D3,33,,,
27012,,12,J1203,Tech. and Innovation for Social Change,J1203.3,8,B2;C5;E4,22,,,
27012,,12,ADVHS01,Advisory HS,ADVHS01.32,9,E3,45,,,
27014,,12,E1201,Physical Education and Health 12,E1201.3,1,A5;C3;E1,30,,,
27014,,12,G1202,AP Spanish Literature and Culture,G1202.1,2,A3;C1;D4,6,,,
27014,,12,OB1520,AP Statistics,OB1520.1,3,B3;D1;E5,37,,,
27014,,12,J1203,Tech. and Innovation for Social Change,J1203.5,5,A1;B4;D2,22,,,
27014,,12,L1304,Life Purpose,L1304.3,6,A4;C2;D5,33,,,
27014,,12,OH1501,Journalism Higher Level,OH1501.2,8,B2;C5;E4,43,,,
27014,,12,ADVHS01,Advisory HS,ADVHS01.33,9,E3,46,,,
27015,,12,G1201,Español & Literatura 12,G1201.5,2,A3;C1;D4,25,,,
27015,,12,OI1305,Calculus,OI1305.5,3,B3;D1;E5,44,,,
27015,,12,J1203,Tech. and Innovation for Social Change,J1203.1,4,B1;C4;E2,20,,,
27015,,12,E1201,Physical Education and Health 12,E1201.1,5,A1;B4;D2,30,,,
27015,,12,OA1304,AP Biology,OA1304.1,6,A4;C2;D5,7,,,
27015,,12,L1304,Life Purpose,L1304.4,7,A2;B5;D3,33,,,
27015,,12,OH1501,Journalism Higher Level,OH1501.2,8,B2;C5;E4,43,,,
27015,,12,ADVHS01,Advisory HS,ADVHS01.34,9,E3,47,,,
27017,,12,E1201,Physical Education and Health 12,E1201.6,2,A3;C1;D4,30,,,
27017,,12,G1201,Español & Literatura 12,G1201.2,3,B3;D1;E5,6,,,
27017,,12,OI1305,Calculus,OI1305.4,4,B1;C4;E2,44,,,
27017,,12,L1304,Life Purpose,L1304.2,5,A1;B4;D2,24,,,
27017,,12,OH1501,Journalism Higher Level,OH1501.1,6,A4;C2;D5,43,,,
27017,,12,A1204,Environmental Science,A1204.1,7,A2;B5;D3,13,,,
27017,,12,J1203,Tech. and Innovation for Social Change,J1203.3,8,B2;C5;E4,22,,,
27017,,12,ADVHS01,Advisory HS,ADVHS01.35,9,E3,48,,,
27018,,12,OB1520,AP Statistics,OB1520.2,1,A5;C3;E1,37,,,
27018,,12,G1202,AP Spanish Literature and Culture,G1202.1,2,A3;C1;D4,6,,,
27018,,12,OA1322,AP Physics 2,OA1322.2,3,B3;D1;E5,31,,,
27018,,12,E1201,Physical Education and Health 12,E1201.4,4,B1;C4;E2,30,,,
27018,,12,OH1306,Art of Fiction Higher Level,OH1306.1,5,A1;B4;D2,23,,,
27018,,12,L1304,Life Purpose,L1304.3,6,A4;C2;D5,33,,,
27018,,12,J1203,Tech. and Innovation for Social Change,J1203.2,7,A2;B5;D3,20,,,
27018,,12,ADVHS01,Advisory HS,ADVHS01.36,9,E3,49,,,
27019,,12,J1203,Tech. and Innovation for Social Change,J1203.4,1,A5;C3;E1,22,,,
27019,,12,E1201,Physical Education and Health 12,E1201.6,2,A3;C1;D4,30,,,
27019,,12,OI1305,Calculus,OI1305.5,3,B3;D1;E5,44,,,
27019,,12,G1201,Español & Literatura 12,G1201.4,5,A1;B4;D2,6,,,
27019,,12,L1302,Introduction to Law,L1302.1,6,A4;C2;D5,24,,,
27019,,12,A1204,Environmental Science,A1204.1,7,A2;B5;D3,13,,,
27019,,12,OH1501,Journalism Higher Level,OH1501.2,8,B2;C5;E4,43,,,
27019,,12,ADVHS01,Advisory HS,ADVHS01.3,9,E3,5,,,
27020,,12,L1301,AP Psychology,L1301.1,1,A5;C3;E1,33,,,
27020,,12,E1201,Physical Education and Health 12,E1201.6,2,A3;C1;D4,30,,,
27020,,12,OH1306,Art of Fiction Higher Level,OH1306.3,3,B3;D1;E5,23,,,
27020,,12,OA1317,AP Chemistry,OA1317.1,4,B1;C4;E2,38,,,
27020,,12,J1203,Tech. and Innovation for Social Change,J1203.5,5,A1;B4;D2,22,,,
27020,,12,OI1305,Calculus,OI1305.3,6,A4;C2;D5,35,,,
27020,,12,OC1305,Painting I,OC1305.1,7,A2;B5;D3,5,,,
27020,,12,G1201,Español & Literatura 12,G1201.1,8,B2;C5;E4,6,,,
27020,,12,ADVHS01,Advisory HS,ADVHS01.30,9,E3,15,,,
27022,,12,OA1322,AP Physics 2,OA1322.1,2,A3;C1;D4,31,,,
27022,,12,J1203,Tech. and Innovation for Social Change,J1203.5,5,A1;B4;D2,22,,,
27022,,12,E1201,Physical Education and Health 12,E1201.2,6,A4;C2;D5,30,,,
27022,,12,L1304,Life Purpose,L1304.4,7,A2;B5;D3,33,,,
27022,,12,G1201,Español & Literatura 12,G1201.1,8,B2;C5;E4,6,,,
27022,,12,ADVHS01,Advisory HS,ADVHS01.20,9,E3,33,,,
27023,,12,H1201B,AP English Literature and Composition,H1201B.2,0,,23,,,
27023,,12,OA1322,AP Physics 2,OA1322.1,2,A3;C1;D4,31,,,
27023,,12,G1201,Español & Literatura 12,G1201.2,3,B3;D1;E5,6,,,
27023,,12,OC1314,AP Drawing,OC1314.1,4,B1;C4;E2,46,,,
27023,,12,E1201,Physical Education and Health 12,E1201.1,5,A1;B4;D2,30,,,
27023,,12,I1208,AP Calculus BC,I1208.1,6,A4;C2;D5,44,,,
27023,,12,OB1532,AP Research,OB1532.1,7,A2;B5;D3,10,,,
27023,,12,L1303,Pensar nuestro tiempo,L1303.1,8,B2;C5;E4,24,,,
27023,,12,ADVHS01,Advisory HS,ADVHS01.31,9,E3,44,,,
27024,,11,OA1319,AP Physics 1,OA1319.1,1,A5;C3;E1,31,,,
27024,,11,OH1305,Art of Fiction Intermediate Level,OH1305.2,2,A3;C1;D4,40,,,
27024,,11,OI1305,Calculus,OI1305.4,4,B1;C4;E2,44,,,
27024,,11,G1203,Español & Literatura 11,G1203.2,5,A1;B4;D2,36,,,
27024,,11,L1304,Life Purpose,L1304.3,6,A4;C2;D5,33,,,
27024,,11,E1101,Physical Education and Health 11,E1101.2,8,B2;C5;E4,27,,,
27024,,11,ADVHS01,Advisory HS,ADVHS01.31,9,E3,44,,,
27025,,12,OI1303,Financial Math,OI1303.2,1,A5;C3;E1,4,,,
27025,,12,G1202,AP Spanish Literature and Culture,G1202.1,2,A3;C1;D4,6,,,
27025,,12,E1201,Physical Education and Health 12,E1201.5,3,B3;D1;E5,30,,,
27025,,12,J1203,Tech. and Innovation for Social Change,J1203.5,5,A1;B4;D2,22,,,
27025,,12,OH1501,Journalism Higher Level,OH1501.1,6,A4;C2;D5,43,,,
27025,,12,A1204,Environmental Science,A1204.1,7,A2;B5;D3,13,,,
27025,,12,I1212,AP Macroeconomics,I1212.2,8,B2;C5;E4,34,,,
27025,,12,I1213,AP Microeconomics,I1213.2,8,B2;C5;E4,34,,,
27025,,12,ADVHS01,Advisory HS,ADVHS01.21,9,E3,34,,,
27026,,12,L1304,Life Purpose,L1304.1,1,A5;C3;E1,24,,,
27026,,12,OJ1203,Entrepreneurship Business Technology,OJ1203.1,2,A3;C1;D4,22,,,
27026,,12,E1201,Physical Education and Health 12,E1201.5,3,B3;D1;E5,30,,,
27026,,12,A1204,Environmental Science,A1204.2,4,B1;C4;E2,13,,,
27026,,12,OH1306,Art of Fiction Higher Level,OH1306.1,5,A1;B4;D2,23,,,
27026,,12,OI1305,Calculus,OI1305.3,6,A4;C2;D5,35,,,
27026,,12,J1203,Tech. and Innovation for Social Change,J1203.2,7,A2;B5;D3,20,,,
27026,,12,G1201,Español & Literatura 12,G1201.1,8,B2;C5;E4,6,,,
