StudentID,StudentName,Grade,CourseID,CourseName,SectionID,Period,Slots,TeacherID,TeacherName,RoomID,RoomName
30059,,0,E0901,Physical Education and Health 9,E0901.5,7,B2;C5;E4,9,,,
30059,,0,A0901,Biology 9,A0901.4,6,B1;C4;E2,49,,,
30059,,0,H0904,English 9,H0904.2,8,B3;D1;E5,29,,,
30059,,0,B0901,Social Studies 9,B0901.2,3,A3;C1;D4,32,,,
30059,,0,G0901,Español & Literatura 9,G0901.3,4,A4;C2;D5,28,,,
30059,,0,ADVHS01,Advisory HS,ADVHS01.30,9,E3,15,,,
27058,,0,L1302,Introduction to Law,L1302.1,4,A4;C2;D5,24,,,
27058,,0,VHS0052,Spanish Film, Art, and Literature,VHS0052.2,1,A1;B4;D2,25,,,
27058,,0,H1206,AP English Language & Composition,H1206.2,2,A2;B5;D3,19,,,
27058,,0,A1105,Physics 11,A1105.3,6,B1;C4;E2,41,,,
27058,,0,E1101,Physical Education and Health 11,E1101.3,8,B3;D1;E5,27,,,
27058,,0,OI1003,Algebra II,OI1003.5,3,A3;C1;D4,8,,,
27058,,0,ADVHS01,Advisory HS,ADVHS01.21,9,E3,34,,,
27058,,0,OC1305,Painting I,OC1305.3,5,A5;C3;E1,5,,,
28066,,0,OH1401,Journalism Intermediate Level,OH1401.2,1,A1;B4;D2,43,,,
28066,,0,G1203,Español & Literatura 11,G1203.1,2,A2;B5;D3,36,,,
28066,,0,L1304,Life Purpose,L1304.1,5,A5;C3;E1,24,,,
28066,,0,A1105,Physics 11,A1105.5,4,A4;C2;D5,41,,,
28066,,0,E1101,Physical Education and Health 11,E1101.2,7,B2;C5;E4,27,,,
28066,,0,OI1003,Algebra II,OI1003.6,6,B1;C4;E2,8,,,
28066,,0,ADVHS01,Advisory HS,ADVHS01.32,9,E3,45,,,
28066,,0,OJ1203,Entrepreneurship Business Technology,OJ1203.2,8,B3;D1;E5,22,,,
28066,,0,OC1310,Painting II,OC1310.3,3,A3;C1;D4,46,,,
29090,,0,J0901,Technology 9,J0901.3,5,A5;C3;E1,21,,,
29090,,0,I0903,Algebra I 9,I0903.1,6,B1;C4;E2,37,,,
29090,,0,OC1305,Painting I,OC1305.4,1,A1;B4;D2,46,,,
29090,,0,E0901,Physical Education and Health 9,E0901.2,3,A3;C1;D4,9,,,
29090,,0,A0901,Biology 9,A0901.6,4,A4;C2;D5,49,,,
29090,,0,H0904,English 9,H0904.4,2,A2;B5;D3,29,,,
29090,,0,B0901,Social Studies 9,B0901.5,8,B3;D1;E5,40,,,
29090,,0,ADVHS01,Advisory HS,ADVHS01.15,9,E3,26,,,
30003,,0,J0903,FRC 9,J0903.1,8,B3;D1;E5,20,,,
30003,,0,C0904,Band Level I,C0904.3,3,A3;C1;D4,3,,,
30003,,0,E0901,Physical Education and Health 9,E0901.1,5,A5;C3;E1,9,,,
30003,,0,A0901,Biology 9,A0901.5,1,A1;B4;D2,49,,,
30003,,0,H0904,English 9,H0904.3,6,B1;C4;E2,29,,,
30003,,0,B0901,Social Studies 9,B0901.7,7,B2;C5;E4,40,,,
30003,,0,G0901,Español & Literatura 9,G0901.3,4,A4;C2;D5,28,,,
30003,,0,I1003,Geometry,I1003.2,2,A2;B5;D3,35,,,
30003,,0,ADVHS01,Advisory HS,ADVHS01.27,9,E3,41,,,
27051,,0,OH1306,Art of Fiction Higher Level,OH1306.3,8,B3;D1;E5,23,,,
