student_id,course_id,course_name,is_required
30034,C0904,Band Level I,False
30119,J0901,Technology 9,False
30139,C0904,Band Level I,False
30024,OC1306,Sculpture I,False
30062,J0903,FRC 9,False
30001,C0904,Band Level I,False
30176,J0901,Technology 9,False
30074,J0901,Technology 9,False
30158,J0901,Technology 9,False
30160,OC1305,Painting I,False
30098,J0901,Technology 9,False
30098,C0904,Band Level I,False
30134,OC1306,Sculpture I,False
30042,I0903,Algebra I 9,False
30122,C0904,Band Level I,False
30030,OC1306,Sculpture I,False
30164,J0901,Technology 9,False
30100,J0901,Technology 9,False
30007,J0903,FRC 9,False
30147,J0901,Technology 9,False
30061,J0901,Technology 9,False
30101,C0904,Band Level I,False
30004,OC1305,Painting I,False
30163,C0904,Band Level I,False
